file_name,text
Blood_of_Amber-Roger_Zelazny.jpg," Merlin escapes from the crystal cave, and decides to gain leverage over Luke by rescuing his mother from the Keep of the Four Worlds. He spars with the sorcerer who now controls the keep, and who seems to know him. He escapes with the petrified Jasra, and returns to Amber where an unusual Trump summoning imprisons him in the Mad Hatter's tea party."
Prince_of_Chaos-Roger_Zelazny.jpg," Merlin returns to his birthplace in the Courts of Chaos in order to solve the existential riddle in which he is involved. He realizes he is but a pawn in the hands of the powerful and cynical superpowers that rule the universe. Merlin becomes the new king of Chaos and is reunited with his father, Corwin. In the Courts of Chaos, Merlin uses all his magical powers in the final fight for survival. fr:Prince du Chaos pl:Książę Chaosu ro:Prințul Haosului ru:Принц Хаоса"
Gilgamesh_the_King-Robert_Silverberg.jpg," The novel is told from the point of view of Gilgamesh, and is primarily ambivalent about the supernatural elements of the epic. Most of the events are portrayed in a fairly realistic manner, and the reader is left undecided as to whether certain events are coincidence, or divine intervention. Silverberg afterwards wrote a number of stories for the fantasy anthology series Heroes in Hell describing Gilgamesh's posthumous adventures in the underworld, including the award-winning novella ""Gilgamesh in the Outback."" fr:Gilgamesh, roi d'Ourouk fi:Kuningas Gilgameš"
The_Plague_Dogs-Richard_Adams.jpg," This book tells of the escape of two dogs, Rowf and Snitter, from a government research station in the Lake District in England, where they had been horribly mistreated. They live on their own with help from a red fox, or ""tod,"" who speaks to them in a Geordie dialect. After the starving dogs attack some sheep on the fells, they are reported as ferocious man-eating monsters by a journalist. A great dog hunt follows, which is later intensified with the fear that the dogs could be carriers of a dangerous bioweapon, such as the bubonic plague."
The_Story_of_the_Stone-Barry_Hughart.jpg," The abbot of a humble monastery in the Valley of Sorrows calls upon Master Li and Number Ten Ox to investigate the killing of a monk and the theft of a seemingly inconsequential manuscript from its library. Suspicion soon lands on the infamous Laughing Prince Liu Sheng--who has been dead for about 750 years. To solve this mystery and others, the incongruous duo will have to travel across China, outwit a half-barbarian king, and saunter into (and out of) Hell itself."
Malafrena-Ursula_K_Le_Guin.jpg," The story takes place from 1825 to 1830, when Orsinia is ruled by the Austrian Empire. The hero is Itale Sorde, the son of the owner of an estate on a lake called Malafrena in a valley of the same name. Itale leaves the estate, against his father's will, to engage in nationalistic and revolutionary politics in the capital."
Romance_of_Atlantis-Unknown.jpg," Atlantis is ruled by the beautiful and intelligent Empress Salustra. The fate of the Empire will be decided by an arranged marriage with the ruler of a less advanced, semi-barbarian northern kingdom, as the advanced technology of Atlantis is powerless against strange environmental and ecological disasters."
Stormqueen-Marion_Zimmer_Bradley.jpg," The novel is set in Darkover's Ages of Chaos where feuding families, the Elhalyn and the Ridenow, are engaged in a breeding scheme to develop children with frightening psychic powers, called laran. The main protagonist is Dorilys Aldaran, the heir to the Rockraven line who develops a fearsome power to alter the planet's weather patterns."
Pursuit_of_the_House-Boat-John_Kendrick_Bangs.jpg," After the House-Boat was hijacked by Captain Kidd at the end of A House-Boat on the Styx, the various members of its club decided that in order to track it down, a detective would have to be called in. So they hired Sherlock Holmes, who, at the time of the book's publication, had indeed been declared dead by his creator."
Generation_Warriors-Anne_McCaffrey.jpg," The title character from the first book of the trilogy, Sassinak teams up the main character from the second, her great grandmother Lunzie, to end the threat of the planet pirates. (Granddaughter and grandmother are the same age because of relativity stasis induced by cold sleep.)"
Tribes_of_Redwall_Otters-Brian_Jacques.jpg," This booklet about otters features trivia questions, a giant poster, profiles of many of the otter characters that are featured in the series, and the much anticipated recipe for Shrimp and Hotroot Soup. The book offers insight into the culture and history of otters, listing important otter characters and customs from the series. It was illustrated by Jonathan Walker."
Tom_Sawyer_Abroad-Mark_Twain.jpg," In the story, Tom, Huck, and Jim set sail to Africa in a futuristic hot air balloon, where they survive encounters with lions, robbers, and fleas to see some of the world's greatest wonders, including the Pyramids and the Sphinx. Like Adventures of Huckleberry Finn and Tom Sawyer, Detective, the story is told using the first-person narrative voice of Huck Finn. It is a sequel, set in the time following the title story of the Tom Sawyer series."
The_Great_Redwall_Feast-Brian_Jacques.jpg," The Great Redwall Feast tells about the creatures of Redwall preparing for a feast while Matthias the Warriormouse, Constance the Badger Guardian, Foremole, and the Abbot are traveling in Mossflower Woods questing for a mysterious Bobbatan Weary Nod. The book features the Abbeydwellers bustling in Redwall, cooking, gathering flowers, and doing other chores for their beloved Abbot (presumably Abbot Mordalfus). Many characters from Redwall and Mattimeo are present in the book, however, the baby mole Bungo is the only character to appear and not be featured in any other Redwall novel."
The_Voyages_of_Doctor_Dolittle-Hugh_Lofting.jpg," Doctor Dolittle meets Tommy Stubbins, the young son of the local cobbler, who becomes his new assistant. Tommy learns how to speak animal languages and becomes involved in the Doctor's quest to find Long Arrow, the greatest naturalist in the world. This novel takes us to the Mediterranean, South America, and even under the sea."
Doctor_Dolittles_Return-Hugh_Lofting.jpg," Tommy Stubbins is waiting for Doctor Dolittle's return from the Moon and when the Doctor does so, he is anxious to write of what he has experienced. This proves more difficult than expected. The poignancy of the doctor's lunar experiences is juxtaposed with his hilarious attempts to be put into jail so he will be free of all responsibilities and will be able to write his book. ja:ドリトル先生月から帰る"
Rhapsody_Child_of_Blood-Elizabeth_Haydon.jpg," Rhapsody: Child of Blood is a fantasy/adventure novel, though it opens with a strong romantic scene. The main story begins in Easton, when the protagonist Rhapsody finds herself in jeopardy, having refused the advances of Michael, the self-titled Wind of Death. In her attempt to get away, she falls in with two mysterious men named Grunthor and Achmed and soon finds herself the unwilling accomplice in their own escape. Though they run from their pasts, they eventually realize that no one can outrun their destinies."
Yon_Ill_Wind-Piers_Anthony.jpg," Hurricane Happy Bottom is causing problems in Mundania and Xanth. The Mundane Baldwin family is blown into Xanth by a Yon Ill Wind. Also, Demon X(A/N)th has made a deal with Demon JU(P/I)ter that he could get one Xanthian to shed a tear. The demons change up by making X(A/N)th into a dragon ass and is only able to talk once explaining to a Xanthian what the quest is. As Nimby, Demon X(A/N)th meets Chlorine and makes her beautiful and talented. Together with the Baldwin family, they must banish Happy Bottom From Xanth."
Zombie_Lover-Piers_Anthony.jpg," Breanna, a beautiful young newcomer to the enchanted land of Xanth, must deal with a distressing dilemma. She has unwittingly attracted the affections of King Xeth, ruler of Xanth's Zombies, who yearns to make her Queen of the Undead! Her quest to preserve her innocence, and find her destiny, takes her on an exhilarating excursion packed with perils, puzzles, and piles of puns."
Divine_Rights_Trip-Gurney_Norman.jpg," The plot is set in the 1960s, which chronicles the awakening of the hippie stoner Divine Right (Davenport) as he travels with his patient and introspective VW Bus, Urge. Initially, he travels with his 'lady' Estelle and they meet up with characters such as 'The Lone Outdoorsman' (a curiously warm hearted right-wing reactionary character) and 'The Greek'. Eventually, Divine Right finds himself travelling alone back to his Appalachian roots."
Elmer_and_the_Dragon-Ruth_Stiles_Gannett.jpg," Elmer and Boris the dragon are stranded on a remote island inhabited only by canaries. One of them, Flute, was Elmer's pet until he escaped to Canary Island. Elmer helps Flute and the king and queen canaries to dig up a chest that the island's former human settlers left. Inside are various household items, a watch, a harmonica, and six bags of gold. The dragon flies Elmer back to his house before returning to Blueland, his own home."
The_Dragons_of_Blueland-Unknown.jpg, Boris the dragon contacts Elmer shortly after the events in Elmer and the Dragon to ask Elmer's help: several men have found his family of dragons and are proposing to sell them to zoos and circuses. Elmer runs away from home again and helps Boris's family to scare off the men permanently.
Debt_of_Bones-Terry_Goodkind.jpg," During the war against D'Hara, a young woman meets with Zeddicus Zu'l Zorander, Wizard of the First Order in order to force him to pay a debt of bones he owes her and save her child. In so doing, she initiates the series of events leading up to the end of the war with D'Hara and the division of the Westlands, Midlands, and D'Hara by the boundaries."
Endless_Night-Agatha_Christie.jpg," Ambitious young Michael Rogers - the narrator of the story - falls in love with Fenella Guteman (Ellie) the first time he sets eyes on her in the mysterious yet scenic 'Gipsy's Acre', complete with its sea-view and dark fir trees. Before long, he has both the land and the woman, but rumors are spreading of a curse hanging over the land. Not heeding the locals' warnings, the couple take up residence at 'Gipsy's Acre', leading to a devastating tragedy."
The_King_Beyond_the_Gate-David_Gemmell.jpg," The King Beyond the Gate takes place a century after Legend takes place. The Drenai are under the rule of Ceska, a usurper of the throne who over time has become a mad emperor. Ceska rules with an iron fist, with the Joinings and the Dark Templars as his tools of terror. The Joinings are horrifying werebeasts, made by merging man and animal, and the Dark Templars are priests of darkness, with power beyond compare. Thus it falls to one man to overthrow the tyrant--- Tenaka Khan. pl:Król poza bramą"
Deathtrap_Dungeon-Ian_Livingstone.jpg," Set in the town of Fang on the continent of Allansia, the player takes the role of an adventurer who decides to enter Baron Sukumvit's ""Trial of Champions"" and brave ""Deathtrap Dungeon"". Competing against five other adventurers, the player must defeat monsters, navigate the maze of dungeons and collect certain gems, which are the key to escaping and winning the Trial."
